variable,description,unit,label
HOSPNUM,Hospital number,NA,Hospital number
RDELAY,Delay between stroke and randomisation in hours,hours,Treatment delay
AGE,Age in years,years,Age
RSBP,Systolic blood pressure at randomisation (mmHg),mmHg,Systolic blood pressure
DASPLT,Discharged on long term aspirin (Y/N),NA,Discharged on long term aspirin
ONDRUG,Estimate of time in days on trial treatment,NA,Estimate of time in days on trial treatment
DSCH,Non trial subcutaneous heparin (Y/N),NA,Non trial subcutaneous heparin
DIVH,Non trial intravenous heparin (Y/N),NA,Non trial intravenous heparin
DAP,Non trial antiplatelet drug (Y/N),NA,Non trial antiplatelet drug
DOAC,Other anticoagulants (Y/N),NA,Other anticoagulants
DGORM,Glycerol or manitol (Y/N),NA,Glycerol or manitol
DSTER,Steroids (Y/N),NA,Steroids
DCAA,Calcium antagonists (Y/N),NA,Calcium antagonists
DHAEMD,Haemodilution (Y/N),NA,Haemodilution
DCAREND,Carotid surgery (Y/N),NA,Carotid surgery
DTHROMB,Thrombolysis (Y/N),NA,Thrombolysis
DMAJNCH,Major non-cerebral haemorrhage (Y/N),NA,Major non-cerebral haemorrhage
DSIDE,Other side effect (Y/N),NA,Other side effect
DDIAGISC,Ischaemic stroke,NA,Ischaemic stroke
DDIAGHA,Haemorrhagic stroke,NA,Haemorrhagic stroke
DDIAGUN,Indeterminate stroke,NA,Indeterminate stroke
DNOSTRK,Not a stroke,NA,Not a stroke
DRSISC,Ischaemic recurrent stroke,NA,Ischaemic recurrent stroke
DRSH,Haemorrhagic stroke,NA,Haemorrhagic stroke
DRSUNK,Unknown type,NA,Unknown type
DPE,Pulmonary embolism,NA,Pulmonary embolism
DALIVE,Discharged alive from hospital,NA,Discharged alive from hospital
DPLACE,Discharge destination (A-Home/B-Relatives home/C-Residential care/D-Nursing home/E-Other hospital departments/U-Unknown),NA,Discharge destination
DDEAD,Dead on discharge form,NA,Dead on discharge form
DDEADC,Cause of death (1-Initial stroke/2-Recurrent stroke (ischaemic or unknown)/3-Recurrent stroke (haemorrhagic)/4-Pneumonia/5-Coronary heart disease/6-Pulmonary embolism/7-Other vascular or unknown/8-Non-vascular/0-unknown),NA,Cause of death
FDEADC,Cause of death (1-Initial stroke/2-Recurrent stroke (ischaemic or unknown)/3-Recurrent stroke (haemorrhagic)/4-Pneumonia/5-Coronary heart disease/6-Pulmonary embolism/7-Other vascular or unknown/8-Non-vascular/0-unknown),NA,Cause of death
FPLACE,Place of residance at 6 month follow-up (A-Home/B-Relatives home/C-Residential care/D-Nursing home/E-Other hospital departments/U-Unknown),NA,Place of residance at 6 month follow-up
FAP,On antiplatelet drugs,NA,On antiplatelet drugs
FOAC,On anticoagulants,NA,On anticoagulants
COUNTRY,Abbreviated country code,NA,Abbreviated country code
NCCODE,Coding of compliance (see Table 3),NA,Coding of compliance
DIED,NA,NA,Died
TD,Time of death or censoring in days,days,Time of death or censoring
SET14D,"Know to be dead or alive at 14 days (1=Yes, 0=No); this does not necessarily mean that we know outcome at 6 monts – see OCCODE for this",NA,Know to be dead or alive at 14 days
ID14,Indicator of death at 14 days,NA,Indicator of death at 14 days
DEAD1,Initial stroke,NA,Initial stroke
DEAD2,Reccurent ischaemic/unknown stroke,NA,Reccurent ischaemic/unknown stroke
DEAD3,Reccurent haemorrhagic stroke,NA,Reccurent haemorrhagic stroke
DEAD4,Pneumonia,NA,Pneumonia
DEAD5,Coronary heart disease,NA,Coronary heart disease
DEAD6,Pulmonary embolism,NA,Pulmonary embolism
DEAD7,Other vascular or unknown,NA,Other vascular or unknown
DEAD8,Non vascular,NA,Non vascular
H14,Cerebral bleed/heamorrhagic stroke within 14 days; this is slightly wider definition than DRSH an is used for analysis of cerebral bleeds,NA,Cerebral bleed/heamorrhagic stroke within 14 days
ISC14,Indicator of ischaemic stroke within 14 days,NA,Indicator of ischaemic stroke within 14 days
NK14,Indicator of indeterminate stroke within 14 days,NA,Indicator of indeterminate stroke within 14 days
STRK14,NA,NA,Strk14
HTI14,Indicator of haemorrhagic transformation within 14 days,NA,Indicator of haemorrhagic transformation within 14 days
PE14,Indicator of pulmonary embolism within 14 days,NA,Indicator of pulmonary embolism within 14 days
DVT14,Indicator of deep vein thrombosis on discharge form,NA,Indicator of deep vein thrombosis on discharge form
TRAN14,Indicator of major non-cerebral bleed within 14 days,NA,Indicator of major non-cerebral bleed within 14 days
NCB14,Indicator of any non-cerebral bleed within 14 days,NA,Indicator of any non-cerebral bleed within 14 days
aspirin_alloc,NA,NA,Aspirin alloc
heparin_alloc,NA,NA,Heparin alloc
dead_6m,NA,NA,Dead 6 months
recovered_6m,NA,NA,Recovered 6 months
dependent_6m,NA,NA,Dependent 6 months
outcome_6m,NA,NA,Outcome 6 months
sex,NA,NA,Sex
atrial_fibrillation,NA,NA,Atrial fibrillation
prior_aspirin,NA,NA,Prior aspirin
prior_heparin,NA,NA,Prior heparin
consciousness,NA,NA,Consciousness
stroke_subtype,NA,NA,Stroke subtype
deficit_face,NA,NA,Deficit face
deficit_arm,NA,NA,Deficit arm
deficit_leg,NA,NA,Deficit leg
deficit_dysphasia,NA,NA,Deficit dysphasia
deficit_hemianopia,NA,NA,Deficit hemianopia
deficit_visuospatial,NA,NA,Deficit visuospatial
deficit_brainstem,NA,NA,Deficit brainstem
deficit_other,NA,NA,Deficit other
wakeup_stroke,NA,NA,Wakeup stroke
ct_before_randomization,NA,NA,Ct before randomization
infarct_visible_ct,NA,NA,Infarct visible ct
aspirin_received,NA,NA,Aspirin received
heparin_low_received,NA,NA,Heparin low received
heparin_medium_received,NA,NA,Heparin medium received
aspirin_compliant,NA,NA,Aspirin compliant
heparin_compliant,NA,NA,Heparin compliant
