variable,label,aspirin_alloc,category,count,percent
atrial_fibrillation,Atrial fibrillation,0,Missing,491,5.054040144107051
atrial_fibrillation,Atrial fibrillation,0,No,7677,79.02213072568193
atrial_fibrillation,Atrial fibrillation,0,Yes,1547,15.923829130211013
consciousness,Consciousness,0,Drowsy,2127,21.893978383942358
consciousness,Consciousness,0,Fully alert,7458,76.76788471435924
consciousness,Consciousness,0,Unconscious,130,1.3381369016984046
ct_before_randomization,CT before randomization,0,No,3182,32.753474009264025
ct_before_randomization,CT before randomization,0,Yes,6533,67.24652599073598
deficit_arm,Deficit arm,0,Missing,68,0.6999485331960885
deficit_arm,Deficit arm,0,No,1319,13.576942871847658
deficit_arm,Deficit arm,0,Yes,8328,85.72310859495626
deficit_brainstem,Deficit brainstem,0,Missing,795,8.183221821924858
deficit_brainstem,Deficit brainstem,0,No,7856,80.86464230571282
deficit_brainstem,Deficit brainstem,0,Yes,1064,10.952135872362327
deficit_dysphasia,Deficit dysphasia,0,Missing,303,3.118888317035512
deficit_dysphasia,Deficit dysphasia,0,No,5170,53.21667524446732
deficit_dysphasia,Deficit dysphasia,0,Yes,4242,43.66443643849717
deficit_face,Deficit face,0,Missing,124,1.276376737004632
deficit_face,Deficit face,0,No,2522,25.959855892949047
deficit_face,Deficit face,0,Yes,7069,72.76376737004632
deficit_hemianopia,Deficit hemianopia,0,Missing,1958,20.154400411734432
deficit_hemianopia,Deficit hemianopia,0,No,6197,63.787956767884715
deficit_hemianopia,Deficit hemianopia,0,Yes,1560,16.057642820380856
deficit_leg,Deficit leg,0,Missing,122,1.2557900154400412
deficit_leg,Deficit leg,0,No,2230,22.954194544518785
deficit_leg,Deficit leg,0,Yes,7363,75.79001544004117
deficit_other,Deficit other,0,Missing,616,6.340710241893978
deficit_other,Deficit other,0,No,8486,87.34945959855892
deficit_other,Deficit other,0,Yes,613,6.309830159547092
deficit_visuospatial,Deficit visuospatial,0,Missing,1733,17.838394235717963
deficit_visuospatial,Deficit visuospatial,0,No,6393,65.80545548121462
deficit_visuospatial,Deficit visuospatial,0,Yes,1589,16.35615028306742
infarct_visible_ct,Infarct visible on CT,0,No,6476,66.65980442614514
infarct_visible_ct,Infarct visible on CT,0,Yes,3239,33.340195573854864
prior_aspirin,Prior aspirin,0,Missing,491,5.054040144107051
prior_aspirin,Prior aspirin,0,No,7245,74.57539886773031
prior_aspirin,Prior aspirin,0,Yes,1979,20.370560988162634
prior_heparin,Prior heparin,0,Missing,172,1.770458054554812
prior_heparin,Prior heparin,0,No,9322,95.9547092125579
prior_heparin,Prior heparin,0,Yes,221,2.2748327328872877
sex,Sex,0,Female,4461,45.91868244981987
sex,Sex,0,Male,5254,54.08131755018013
stroke_subtype,Stroke subtype,0,Lacunar syndrome,2331,23.99382398353062
stroke_subtype,Stroke subtype,0,Other,31,0.319094184251158
stroke_subtype,Stroke subtype,0,Partial anterior circulation syndrome,3935,40.504374678332475
stroke_subtype,Stroke subtype,0,Posterior circulation syndrome,1107,11.394750386001029
stroke_subtype,Stroke subtype,0,Total anterior circulation syndrome,2311,23.787956767884715
wakeup_stroke,Wakeup stroke,0,No,6851,70.51981471950592
wakeup_stroke,Wakeup stroke,0,Yes,2864,29.48018528049408
atrial_fibrillation,Atrial fibrillation,1,Missing,493,5.07201646090535
atrial_fibrillation,Atrial fibrillation,1,No,7605,78.24074074074075
atrial_fibrillation,Atrial fibrillation,1,Yes,1622,16.68724279835391
consciousness,Consciousness,1,Drowsy,2127,21.882716049382715
consciousness,Consciousness,1,Fully alert,7463,76.7798353909465
consciousness,Consciousness,1,Unconscious,130,1.337448559670782
ct_before_randomization,CT before randomization,1,No,3229,33.2201646090535
ct_before_randomization,CT before randomization,1,Yes,6491,66.7798353909465
deficit_arm,Deficit arm,1,Missing,55,0.565843621399177
deficit_arm,Deficit arm,1,No,1348,13.868312757201647
deficit_arm,Deficit arm,1,Yes,8317,85.56584362139918
