variable,label,heparin_alloc,category,count,percent
atrial_fibrillation,Atrial fibrillation,Low,Missing,246,5.060687101419461
atrial_fibrillation,Atrial fibrillation,Low,No,3842,79.03723513680313
atrial_fibrillation,Atrial fibrillation,Low,Yes,773,15.902077761777411
consciousness,Consciousness,Low,Drowsy,1065,21.90907220736474
consciousness,Consciousness,Low,Fully alert,3731,76.75375437152849
consciousness,Consciousness,Low,Unconscious,65,1.337173421106768
ct_before_randomization,CT before randomization,Low,No,1599,32.894466159226496
ct_before_randomization,CT before randomization,Low,Yes,3262,67.1055338407735
deficit_arm,Deficit arm,Low,Missing,30,0.6171569635877392
deficit_arm,Deficit arm,Low,No,650,13.37173421106768
deficit_arm,Deficit arm,Low,Yes,4181,86.01110882534458
deficit_brainstem,Deficit brainstem,Low,Missing,399,8.20818761571693
deficit_brainstem,Deficit brainstem,Low,No,3889,80.00411437975725
deficit_brainstem,Deficit brainstem,Low,Yes,573,11.787698004525819
deficit_dysphasia,Deficit dysphasia,Low,Missing,138,2.8389220325036
deficit_dysphasia,Deficit dysphasia,Low,No,2588,53.24007405883563
deficit_dysphasia,Deficit dysphasia,Low,Yes,2135,43.92100390866077
deficit_face,Deficit face,Low,Missing,61,1.2548858259617364
deficit_face,Deficit face,Low,No,1283,26.39374614276898
deficit_face,Deficit face,Low,Yes,3517,72.35136803126929
deficit_hemianopia,Deficit hemianopia,Low,Missing,966,19.8724542275252
deficit_hemianopia,Deficit hemianopia,Low,No,3103,63.834601933758485
deficit_hemianopia,Deficit hemianopia,Low,Yes,792,16.292943838716315
deficit_leg,Deficit leg,Low,Missing,71,1.460604813824316
deficit_leg,Deficit leg,Low,No,1105,22.731948158815058
deficit_leg,Deficit leg,Low,Yes,3685,75.80744702736062
deficit_other,Deficit other,Low,Missing,305,6.274429129808682
deficit_other,Deficit other,Low,No,4246,87.34828224645135
deficit_other,Deficit other,Low,Yes,310,6.377288623739971
deficit_visuospatial,Deficit visuospatial,Low,Missing,864,17.774120551326888
deficit_visuospatial,Deficit visuospatial,Low,No,3220,66.24151409175067
deficit_visuospatial,Deficit visuospatial,Low,Yes,777,15.984365356922444
infarct_visible_ct,Infarct visible on CT,Low,No,3319,68.2781320715902
