variable,label,category,comparison,smd,absolute_smd
atrial_fibrillation,Atrial fibrillation,No,Low vs Medium,-0.006757359459425863,0.006757359459425863
atrial_fibrillation,Atrial fibrillation,No,Low vs None,-0.01923878722843315,0.01923878722843315
atrial_fibrillation,Atrial fibrillation,Yes,Low vs Medium,0.006757359459425715,0.006757359459425715
atrial_fibrillation,Atrial fibrillation,Yes,Low vs None,0.019238787228433144,0.019238787228433144
consciousness,Consciousness,Drowsy,Low vs Medium,-0.001446774813341985,0.001446774813341985
consciousness,Consciousness,Drowsy,Low vs None,-2.7956199513885327e-4,2.7956199513885327e-4
consciousness,Consciousness,Fully alert,Low vs Medium,4.0844486318954756e-4,4.0844486318954756e-4
consciousness,Consciousness,Fully alert,Low vs None,7.480996471730496e-4,7.480996471730496e-4
consciousness,Consciousness,Unconscious,Low vs Medium,0.0036768870517184635,0.0036768870517184635
consciousness,Consciousness,Unconscious,Low vs None,-0.0017503318323456496,0.0017503318323456496
ct_before_randomization,CT before randomization,No,Low vs Medium,2.825737223092983e-4,2.825737223092983e-4
ct_before_randomization,CT before randomization,No,Low vs None,0.0037898888919818264,0.0037898888919818264
ct_before_randomization,CT before randomization,Yes,Low vs Medium,-2.825737223092983e-4,2.825737223092983e-4
ct_before_randomization,CT before randomization,Yes,Low vs None,-0.0037898888919817085,0.0037898888919817085
deficit_arm,Deficit arm,No,Low vs Medium,0.015891646132808024,0.015891646132808024
deficit_arm,Deficit arm,No,Low vs None,0.012728014299526417,0.012728014299526417
deficit_arm,Deficit arm,Yes,Low vs Medium,-0.0158916461328081,0.0158916461328081
deficit_arm,Deficit arm,Yes,Low vs None,-0.012728014299526174,0.012728014299526174
deficit_brainstem,Deficit brainstem,No,Low vs Medium,0.039383988450868525,0.039383988450868525
deficit_brainstem,Deficit brainstem,No,Low vs None,0.03238585545284101,0.03238585545284101
deficit_brainstem,Deficit brainstem,Yes,Low vs Medium,-0.039383988450868435,0.039383988450868435
deficit_brainstem,Deficit brainstem,Yes,Low vs None,-0.032385855452841096,0.032385855452841096
deficit_dysphasia,Deficit dysphasia,No,Low vs Medium,0.014995161206729755,0.014995161206729755
deficit_dysphasia,Deficit dysphasia,No,Low vs None,-0.004832657542882834,0.004832657542882834
deficit_dysphasia,Deficit dysphasia,Yes,Low vs Medium,-0.014995161206729866,0.014995161206729866
deficit_dysphasia,Deficit dysphasia,Yes,Low vs None,0.004832657542882722,0.004832657542882722
deficit_face,Deficit face,No,Low vs Medium,-0.0020712448705517642,0.0020712448705517642
deficit_face,Deficit face,No,Low vs None,-0.008366169016695393,0.008366169016695393
deficit_face,Deficit face,Yes,Low vs Medium,0.002071244870552015,0.002071244870552015
deficit_face,Deficit face,Yes,Low vs None,0.008366169016695518,0.008366169016695518
deficit_hemianopia,Deficit hemianopia,No,Low vs Medium,0.01644494530246541,0.01644494530246541
deficit_hemianopia,Deficit hemianopia,No,Low vs None,0.009096931000445441,0.009096931000445441
deficit_hemianopia,Deficit hemianopia,Yes,Low vs Medium,-0.016444945302465416,0.016444945302465416
