variable,label,n_control,events_control,risk_control,n_treated,events_treated,risk_treated,risk_difference,ci_lower,ci_upper
ID14,Indicator of death at 14 days,9715,909,0.09356664951106536,9720,872,0.0897119341563786,-0.0038547153546867607,-0.011967224644527506,0.004257793935153985
H14,Cerebral bleed/heamorrhagic stroke within 14 days,9715,74,0.00761708697889861,9720,87,0.008950617283950617,0.0013335303050520074,-0.0012149862528298278,0.0038820468629338425
ISC14,Indicator of ischaemic stroke within 14 days,9715,242,0.024909933093154916,9720,153,0.01574074074074074,-0.009169192352414177,-0.013135045632158993,-0.005203339072669362
NK14,Indicator of indeterminate stroke within 14 days,9715,138,0.014204837879567679,9720,122,0.012551440329218106,-0.0016533975503495724,-0.004883819044847637,0.001577023944148492
STRK14,Strk14,9715,446,0.04590838908903757,9720,361,0.03713991769547325,-0.00876847139356432,-0.014376826921732975,-0.0031601158653956646
HTI14,Indicator of haemorrhagic transformation within 14 days,9715,23,0.0023674729799279463,9720,36,0.003703703703703704,0.0013362307237757575,-0.00021048600908674955,0.002882947456638265
PE14,Indicator of pulmonary embolism within 14 days,9715,77,0.007925887802367472,9720,57,0.005864197530864198,-0.0020616902715032744,-0.004388358487100905,2.649779440943561e-4
DVT14,Indicator of deep vein thrombosis on discharge form,9715,14,0.0014410705095213587,9720,8,8.230452674897119e-4,-6.180252420316468e-4,-0.0015635633979834151,3.275129139201215e-4
TRAN14,Indicator of major non-cerebral bleed within 14 days,9715,57,0.005867215645908389,9720,109,0.011213991769547325,0.005346776123638936,0.0027605002298462873,0.007933052017431585
NCB14,Indicator of any non-cerebral bleed within 14 days,9715,187,0.019248584662892435,9720,344,0.03539094650205761,0.016142361839165176,0.011564441053474853,0.0207202826248555
dead_6m,Dead 6 months,9644,2229,0.2311281625881377,9635,2140,0.22210690192008303,-0.00902126066805467,-0.020839727500116534,0.0027972061640071932
