variable,label,heparin_alloc,n_control,events_control,risk_control,n_treated,events_treated,risk_treated,risk_difference,ci_lower,ci_upper,ci_crosses_zero,effect_type,patients_per_event
ID14,Indicator of death at 14 days,None,4860,453,0.09320987654320988,4858,452,0.09304240428159737,-1.6747226161251128e-4,-0.011723453249088748,0.011388508725863725,TRUE,NNT,5972
H14,Cerebral bleed/heamorrhagic stroke within 14 days,None,4860,15,0.0030864197530864196,4858,26,0.005351996706463565,0.0022655769533771455,-3.115784047189882e-4,0.004842732311473279,TRUE,NNH,442
ISC14,Indicator of ischaemic stroke within 14 days,None,4860,133,0.027366255144032924,4858,90,0.018526142445450804,-0.00884011269858212,-0.01479144940513765,-0.002888775992026588,FALSE,NNT,114
NK14,Indicator of indeterminate stroke within 14 days,None,4860,82,0.016872427983539096,4858,66,0.013585837793330589,-0.0032865901902085076,-0.008155805301844617,0.0015826249214276021,TRUE,NNT,305
STRK14,Strk14,None,4860,229,0.047119341563786006,4858,182,0.037463976945244955,-0.009655364618541051,-0.017655765680512192,-0.0016549635565699088,FALSE,NNT,104
HTI14,Indicator of haemorrhagic transformation within 14 days,None,4860,4,8.230452674897119e-4,4858,8,0.0016467682173734047,8.237229498836928e-4,-5.727464011970674e-4,0.002220192300964453,TRUE,NNH,1215
PE14,Indicator of pulmonary embolism within 14 days,None,4860,45,0.009259259259259259,4858,36,0.007410456978180321,-0.001848802281078938,-0.005463748929167915,0.0017661443670100394,TRUE,NNT,541
DVT14,Indicator of deep vein thrombosis on discharge form,None,4860,11,0.0022633744855967077,4858,6,0.0012350761630300535,-0.0010282983225666541,-0.0026897753614104456,6.331787162771373e-4,TRUE,NNT,973
TRAN14,Indicator of major non-cerebral bleed within 14 days,None,4860,14,0.002880658436213992,4858,23,0.004734458624948539,0.0018538001887345467,-5.950047555138417e-4,0.004302605132982935,TRUE,NNH,540
NCB14,Indicator of any non-cerebral bleed within 14 days,None,4860,19,0.003909465020576132,4858,68,0.01399752984767394,0.010088064827097808,0.006347454170933279,0.013828675483262337,FALSE,NNH,100
dead_6m,Dead 6 months,None,4828,1087,0.2251449875724938,4814,1054,0.21894474449522228,-0.006200243077271517,-0.022791732610949474,0.01039124645640644,TRUE,NNT,162
ID14,Indicator of death at 14 days,Low,2429,230,0.09468917249897077,2432,194,0.07976973684210527,-0.014919435656865501,-0.030779110527795413,9.40239214064411e-4,TRUE,NNT,68
H14,Cerebral bleed/heamorrhagic stroke within 14 days,Low,2429,16,0.006587072869493619,2432,19,0.0078125,0.0012254271305063812,-0.0035278304467750354,0.005978684707787798,TRUE,NNH,817
ISC14,Indicator of ischaemic stroke within 14 days,Low,2429,47,0.019349526554137506,2432,24,0.009868421052631578,-0.009481105501505927,-0.016222366598592095,-0.002739844404419758,FALSE,NNT,106
NK14,Indicator of indeterminate stroke within 14 days,Low,2429,31,0.012762453684643887,2432,26,0.01069078947368421,-0.002071664210959676,-0.00812423581326165,0.0039809073913422985,TRUE,NNT,483
STRK14,Strk14,Low,2429,93,0.03828736105393166,2432,69,0.02837171052631579,-0.009915650527615866,-0.02000424650610858,1.72945450876847e-4,TRUE,NNT,101
HTI14,Indicator of haemorrhagic transformation within 14 days,Low,2429,5,0.0020584602717167557,2432,9,0.003700657894736842,0.0016421976230200862,-0.0013699138182948142,0.004654309064334987,TRUE,NNH,609
PE14,Indicator of pulmonary embolism within 14 days,Low,2429,20,0.008233841086867023,2432,13,0.005345394736842105,-0.0028884463500249173,-0.007505105119710663,0.0017282124196608285,TRUE,NNT,347
DVT14,Indicator of deep vein thrombosis on discharge form,Low,2429,2,8.233841086867024e-4,2432,2,8.223684210526315e-4,-1.0156876340708214e-6,-0.0016131897538892704,0.0016111583786211287,TRUE,NNT,984555
