variable,label,comparison,n_control,events_control,risk_control,n_treated,events_treated,risk_treated,risk_difference,ci_lower,ci_upper,ci_crosses_zero,effect_type,patients_per_event
ID14,Indicator of death at 14 days,Low vs None,9718,905,0.0931261576456061,4861,424,0.0872248508537338,-0.005901306791872299,-0.015714841055302204,0.003912227471557606,TRUE,NNT,170
H14,Cerebral bleed/heamorrhagic stroke within 14 days,Low vs None,9718,41,0.00421897509775674,4861,35,0.00720016457519029,0.0029811894774335497,2.774874087272342e-4,0.005684891546139865,FALSE,NNH,336
ISC14,Indicator of ischaemic stroke within 14 days,Low vs None,9718,223,0.02294710845853056,4861,71,0.01460604813824316,-0.008341060320287402,-0.012839663207163735,-0.003842457433411068,FALSE,NNT,120
NK14,Indicator of indeterminate stroke within 14 days,Low vs None,9718,148,0.015229471084585305,4861,57,0.011725982308167043,-0.003503488776418262,-0.0073876751668404475,3.8069761400392295e-4,TRUE,NNT,286
STRK14,Strk14,Low vs None,9718,411,0.042292652809220004,4861,162,0.033326476033737916,-0.008966176775482088,-0.015406004411242628,-0.0025263491397215483,FALSE,NNT,112
HTI14,Indicator of haemorrhagic transformation within 14 days,Low vs None,9718,12,0.001234821979831241,4861,14,0.002880065830076116,0.0016452438502448752,-1.5197047624143992e-5,0.0033056847481138943,TRUE,NNH,608
PE14,Indicator of pulmonary embolism within 14 days,Low vs None,9718,81,0.008335048363860877,4861,33,0.0067887265994651304,-0.0015463217643957462,-0.004478230120674078,0.0013855865918825862,TRUE,NNT,647
DVT14,Indicator of deep vein thrombosis on discharge form,Low vs None,9718,17,0.001749331138094258,4861,4,8.228759514503189e-4,-9.264551866439392e-4,-0.0020840777011954994,2.311673279076211e-4,TRUE,NNT,1080
TRAN14,Indicator of major non-cerebral bleed within 14 days,Low vs None,9718,37,0.0038073677711463264,4861,30,0.0061715696358773916,0.002364201864731065,-1.5504022087904764e-4,0.0048834439503411785,TRUE,NNH,423
NCB14,Indicator of any non-cerebral bleed within 14 days,Low vs None,9718,87,0.008952459353776497,4861,96,0.01974902283480765,0.010796563481031154,0.0064599152513041365,0.015133211710758172,FALSE,NNH,93
dead_6m,Dead 6 months,Low vs None,9642,2141,0.22204936735117195,4815,1100,0.2284527518172378,0.006403384466065837,-0.008069141968236606,0.020875910900368277,TRUE,NNH,157
ID14,Indicator of death at 14 days,Medium vs None,9718,905,0.0931261576456061,4856,452,0.09308072487644152,-4.543276916457728e-5,-0.010053807293589404,0.00996294175526025,TRUE,NNT,22011
H14,Cerebral bleed/heamorrhagic stroke within 14 days,Medium vs None,9718,41,0.00421897509775674,4856,85,0.017504118616144974,0.013285143518388234,0.009377978070174424,0.017192308966602045,FALSE,NNH,76
ISC14,Indicator of ischaemic stroke within 14 days,Medium vs None,9718,223,0.02294710845853056,4856,101,0.020799011532125204,-0.0021480969264053573,-0.007145592025673135,0.00284939817286242,TRUE,NNT,466
NK14,Indicator of indeterminate stroke within 14 days,Medium vs None,9718,148,0.015229471084585305,4856,55,0.011326194398682043,-0.003903276685903262,-0.007748709148757152,-5.784422304937198e-5,FALSE,NNT,257
STRK14,Strk14,Medium vs None,9718,411,0.042292652809220004,4856,234,0.048187808896210875,0.0058951560869908715,-0.001336448145706405,0.013126760319688149,TRUE,NNH,170
HTI14,Indicator of haemorrhagic transformation within 14 days,Medium vs None,9718,12,0.001234821979831241,4856,33,0.006795716639209226,0.005560894659377985,0.003146952973569921,0.007974836345186049,FALSE,NNH,180
PE14,Indicator of pulmonary embolism within 14 days,Medium vs None,9718,81,0.008335048363860877,4856,20,0.004118616144975288,-0.0042164322188855885,-0.006768348895619126,-0.0016645155421520508,FALSE,NNT,238
DVT14,Indicator of deep vein thrombosis on discharge form,Medium vs None,9718,17,0.001749331138094258,4856,1,2.0593080724876442e-4,-0.0015434003308454937,-0.002467085026103929,-6.197156355870585e-4,FALSE,NNT,648
TRAN14,Indicator of major non-cerebral bleed within 14 days,Medium vs None,9718,37,0.0038073677711463264,4856,99,0.020387149917627675,0.01657978214648135,0.01242058850637617,0.02073897578658653,FALSE,NNH,61
NCB14,Indicator of any non-cerebral bleed within 14 days,Medium vs None,9718,87,0.008952459353776497,4856,348,0.07166392092257001,0.06271146156879351,0.05521893148007894,0.07020399165750808,FALSE,NNH,16
dead_6m,Dead 6 months,Medium vs None,9642,2141,0.22204936735117195,4822,1128,0.23392783077561177,0.011878463424439822,-0.002667838966372755,0.0264247658152524,TRUE,NNH,85
