variable,label,aspirin_alloc,heparin_alloc,treatment_combo,patients,events,risk,standard_error,ci_lower,ci_upper
ID14,Indicator of death at 14 days,0,Low,No aspirin + Low heparin,2429,230,0.09468917249897077,0.005940667704474123,0.08304546379820149,0.10633288119974005
ID14,Indicator of death at 14 days,0,Medium,No aspirin + Medium heparin,2426,226,0.09315746084089035,0.005901050961022715,0.08159140095728583,0.10472352072449488
ID14,Indicator of death at 14 days,0,None,No aspirin + No heparin,4860,453,0.09320987654320988,0.004170289670737757,0.08503610878856388,0.10138364429785587
ID14,Indicator of death at 14 days,1,Low,Aspirin + Low heparin,2432,194,0.07976973684210527,0.005493960721598146,0.0690015738277729,0.09053789985643763
ID14,Indicator of death at 14 days,1,Medium,Aspirin + Medium heparin,2430,226,0.09300411522633745,0.005891835383663632,0.08145611787435673,0.10455211257831816
ID14,Indicator of death at 14 days,1,None,Aspirin + No heparin,4858,452,0.09304240428159737,0.004167783952256121,0.08487354773517537,0.10121126082801936
H14,Cerebral bleed/heamorrhagic stroke within 14 days,0,Low,No aspirin + Low heparin,2429,16,0.006587072869493619,0.0016413355651496474,0.00337005516180031,0.009804090577186928
H14,Cerebral bleed/heamorrhagic stroke within 14 days,0,Medium,No aspirin + Medium heparin,2426,43,0.01772464962901896,0.002678921909787918,0.01247396268583464,0.02297533657220328
H14,Cerebral bleed/heamorrhagic stroke within 14 days,0,None,No aspirin + No heparin,4860,15,0.0030864197530864196,7.956794035342868e-4,0.0015268881221592175,0.004645951384013622
H14,Cerebral bleed/heamorrhagic stroke within 14 days,1,Low,Aspirin + Low heparin,2432,19,0.0078125,0.0017852954803616783,0.0043133208584911105,0.01131167914150889
H14,Cerebral bleed/heamorrhagic stroke within 14 days,1,Medium,Aspirin + Medium heparin,2430,42,0.01728395061728395,0.0026438231193786402,0.012102057303301814,0.022465843931266084
H14,Cerebral bleed/heamorrhagic stroke within 14 days,1,None,Aspirin + No heparin,4858,26,0.005351996706463565,0.001046800378714694,0.003300267964182765,0.007403725448744365
ISC14,Indicator of ischaemic stroke within 14 days,0,Low,No aspirin + Low heparin,2429,47,0.019349526554137506,0.0027949789109226494,0.013871367888729114,0.024827685219545897
ISC14,Indicator of ischaemic stroke within 14 days,0,Medium,No aspirin + Medium heparin,2426,62,0.025556471558120363,0.003203932708073709,0.019276763450295893,0.03183617966594483
ISC14,Indicator of ischaemic stroke within 14 days,0,None,No aspirin + No heparin,4860,133,0.027366255144032924,0.0023402605823491635,0.022779344402628562,0.031953165885437285
ISC14,Indicator of ischaemic stroke within 14 days,1,Low,Aspirin + Low heparin,2432,24,0.009868421052631578,0.002004418979027753,0.005939759853737183,0.013797082251525974
ISC14,Indicator of ischaemic stroke within 14 days,1,Medium,Aspirin + Medium heparin,2430,39,0.016049382716049384,0.0025492514862438596,0.01105284980301142,0.02104591562908735
ISC14,Indicator of ischaemic stroke within 14 days,1,None,Aspirin + No heparin,4858,90,0.018526142445450804,0.0019346531391819081,0.014734222292654264,0.022318062598247344
NK14,Indicator of indeterminate stroke within 14 days,0,Low,No aspirin + Low heparin,2429,31,0.012762453684643887,0.002277530303166296,0.008298494290437946,0.017226413078849825
NK14,Indicator of indeterminate stroke within 14 days,0,Medium,No aspirin + Medium heparin,2426,25,0.010305028854080791,0.002050358908761884,0.006286325392907499,0.014323732315254084
NK14,Indicator of indeterminate stroke within 14 days,0,None,No aspirin + No heparin,4860,82,0.016872427983539096,0.0018474623434842903,0.013251401790309886,0.020493454176768306
NK14,Indicator of indeterminate stroke within 14 days,1,Low,Aspirin + Low heparin,2432,26,0.01069078947368421,0.0020853988493970254,0.006603407728866041,0.01477817121850238
NK14,Indicator of indeterminate stroke within 14 days,1,Medium,Aspirin + Medium heparin,2430,30,0.012345679012345678,0.0022400454895136514,0.007955189852898921,0.016736168171792437
NK14,Indicator of indeterminate stroke within 14 days,1,None,Aspirin + No heparin,4858,66,0.013585837793330589,0.0016609023774588052,0.01033046913351133,0.01684120645314985
STRK14,Strk14,0,Low,No aspirin + Low heparin,2429,93,0.03828736105393166,0.003893468104557858,0.030656163568998255,0.045918558538865055
STRK14,Strk14,0,Medium,No aspirin + Medium heparin,2426,124,0.051112943116240726,0.004471233056581158,0.042349326325341656,0.0598765599071398
STRK14,Strk14,0,None,No aspirin + No heparin,4860,229,0.047119341563786006,0.0030394900622226183,0.04116194104182967,0.05307674208574234
STRK14,Strk14,1,Low,Aspirin + Low heparin,2432,69,0.02837171052631579,0.003366751406955423,0.021772877768683162,0.03497054328394842
STRK14,Strk14,1,Medium,Aspirin + Medium heparin,2430,110,0.04526748971193416,0.004217265320657524,0.03700164968344541,0.05353332974042291
STRK14,Strk14,1,None,Aspirin + No heparin,4858,182,0.037463976945244955,0.002724499167480987,0.03212395857698222,0.04280399531350769
HTI14,Indicator of haemorrhagic transformation within 14 days,0,Low,No aspirin + Low heparin,2429,5,0.0020584602717167557,9.196234513714168e-4,2.559983070287788e-4,0.0038609222364047327
HTI14,Indicator of haemorrhagic transformation within 14 days,0,Medium,No aspirin + Medium heparin,2426,14,0.005770816158285243,0.0015378588447988917,0.0027566128224794156,0.008785019494091072
HTI14,Indicator of haemorrhagic transformation within 14 days,0,None,No aspirin + No heparin,4860,4,8.230452674897119e-4,4.1135324800656476e-4,1.6792901396845035e-5,0.0016292976335825788
HTI14,Indicator of haemorrhagic transformation within 14 days,1,Low,Aspirin + Low heparin,2432,9,0.003700657894736842,0.0012312680378526045,0.0012873725405457372,0.006113943248927946
HTI14,Indicator of haemorrhagic transformation within 14 days,1,Medium,Aspirin + Medium heparin,2430,19,0.007818930041152264,0.0017867590696305211,0.004316882264676442,0.011320977817628086
HTI14,Indicator of haemorrhagic transformation within 14 days,1,None,Aspirin + No heparin,4858,8,0.0016467682173734047,5.817408981528702e-4,5.065560569937791e-4,0.0027869803777530303
PE14,Indicator of pulmonary embolism within 14 days,0,Low,No aspirin + Low heparin,2429,20,0.008233841086867023,0.0018335473324759019,0.0046400883152142545,0.01182759385851979
PE14,Indicator of pulmonary embolism within 14 days,0,Medium,No aspirin + Medium heparin,2426,12,0.00494641384995878,0.0014243707972895817,0.0021546470872712,0.00773818061264636
PE14,Indicator of pulmonary embolism within 14 days,0,None,No aspirin + No heparin,4860,45,0.009259259259259259,0.0013738837876550157,0.006566447035455428,0.01195207148306309
PE14,Indicator of pulmonary embolism within 14 days,1,Low,Aspirin + Low heparin,2432,13,0.005345394736842105,0.0014785780492339866,0.0024473817603434915,0.00824340771334072
PE14,Indicator of pulmonary embolism within 14 days,1,Medium,Aspirin + Medium heparin,2430,8,0.0032921810699588477,0.0011620442137175084,0.0010145744110725313,0.0055697877288451644
